Firstname,Surname,Password,Phone Number,Email,Location,Gender,Age,Ethnicity,Favourite Food,Favourite Colour,Known For,userType,Job Title,Shift,Date Hired,Date Of Birth,Years Of Experience,Username
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
Samuel,Harris,DogsCats2^,07935013395,SamuelHarris331@gmail.com,"18, Aston Road, Deeside, Wales",Male,29,British,Falafel Wrap,Green,1,admin,Anytime,Morning,20/07/2024,13/11/1997,3,SamuelHarris-211
manimm,manimmr,manimm78!,12345678911,,cht64r,g,g,g,g,g,g,staff,Shift Manager,night,12/11/2024,22/08/1930,34,manimmmanimmr.957
